Reference Name	Group	Depth	Breadth	Total reference bases
Bacteroides sp. 4_3_47FAA  	Bacteria	128.669826020814	88.658597399584	5344145
Bacteroides vulgatus PC510	Bacteria	81.9139806412027	89.5280383428327	4781702
Bacteroides vulgatus ATCC 8482 	Bacteria	77.79	83.4279744553221	5163189
Alistipes putredinis DSM 17216  	Bacteria	50.2154234359448	91.0707492672198	2549878
Dialister invisus DSM 15470  	Bacteria	46.6122554724505	88.3431266021753	1895860
Bacteroides ovatus ATCC 8483 	Bacteria	36.8400088408643	91.9327809624041	6463169
Faecalibacterium prausnitzii A2-165 	Bacteria	35.3856212686828	87.3977919722778	3080849
Bacteroides uniformis ATCC 8492	Bacteria	31.8878203224917	83.7450105539146	9434414
Bacteroides sp. 9_1_42FAA	Bacteria	17.6104591754342	84.2875700471166	5622644
Faecalibacterium prausnitzii M21/2  	Bacteria	16.8262915372421	68.9852807002788	3126983
Bacteroides dorei DSM 17855 	Bacteria	16.7343011657927	83.8032329355031	5487768
Bacteroides caccae ATCC 43185  	Bacteria	15.7120479980126	90.019264749889	4564814
Bacteroides dorei 5_1_36/D4	Bacteria	15.1726744454886	83.1920373557943	5501690
Bacteroides sp. D4 	Bacteria	15.1472310114023	82.7953540285029	5530727
Eubacterium rectale ATCC 33656 	Bacteria	14.62	72.6615328645949	3449685
Bacteroides sp. 3_1_33FAA  	Bacteria	13.850620285189	82.9497642247372	10802660
Parabacteroides merdae ATCC 43184 	Bacteria	12.8198723520531	88.6028199789841	4431877
Roseburia intestinalis L1-82  	Bacteria	12.5296849595097	87.6501452401742	4380675
Bacteroides sp. D2  	Bacteria	11.7139549249811	59.4731574928501	17733459
Acidaminococcus sp. D21 	Bacteria	11.3099356892647	94.2960008896936	2238973
Bacteroides sp. 1_1_6  	Bacteria	9.67873469318866	61.883564129763	6695222
Bacteroides sp. 2_2_4	Bacteria	8.9674615883121	67.34312281939	7101224
Bacteroides sp. 1_1_14 	Bacteria	8.5652432340783	73.2821638787644	6446424
Bacteroides sp. 3_1_23 	Bacteria	8.51386178260777	65.727147326346	6520178
Bacteroides ovatus SD CMC 3f	Bacteria	7.65414262645125	66.9133920536704	6775279
Parabacteroides distasonis ATCC 8503 	Bacteria	7.44	76.3421463991924	4811379
Roseburia inulinivorans DSM 16841  	Bacteria	6.96548398626442	83.911025964922	4048462
Eubacterium ventriosum ATCC 27560  	Bacteria	6.85333389785326	83.7823531769056	2869695
Bacteroides sp. 3_1_19 	Bacteria	5.88028738222165	66.8479134556265	5250116
Bacteroides coprophilus DSM 18228 	Bacteria	5.76506487840697	9.59897474816772	3855443
Bacteroides coprocola DSM 17136 	Bacteria	5.68575103413549	12.9353012617279	4295617
Bacteroides sp. 2_1_7 	Bacteria	5.68370810838168	66.9986753523066	5137215
